wt,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,yr,mo,Date
23,Freitag,31,0,3,28,0,3,38,4,35,2011,12,2011-12-23
24,Samstag,13,0,3,10,0,3,14,6,19,2011,12,2011-12-24
25,Sonntag,18,0,1,17,0,1,19,3,21,2011,12,2011-12-25
26,Montag,18,0,4,14,0,4,23,2,20,2011,12,2011-12-26
27,Dienstag,16,0,2,14,0,3,22,2,18,2011,12,2011-12-27
28,Mittwoch,20,0,4,16,0,4,20,2,22,2011,12,2011-12-28
29,Donnerstag,22,0,4,18,0,5,22,2,24,2011,12,2011-12-29
30,Freitag,23,0,5,18,0,6,23,5,28,2011,12,2011-12-30
31,Samstag,10,0,1,9,0,1,12,4,14,2011,12,2011-12-31
1,Sonntag,24,0,8,16,0,8,23,4,28,2012,01,2012-01-01
2,Montag,37,0,7,30,0,7,35,1,38,2012,01,2012-01-02
3,Dienstag,33,0,7,26,0,9,30,3,36,2012,01,2012-01-03
4,Mittwoch,27,0,12,15,0,12,17,2,29,2012,01,2012-01-04
5,Donnerstag,40,0,4,36,0,5,40,7,47,2012,01,2012-01-05
6,Freitag,30,0,4,26,0,5,29,4,34,2012,01,2012-01-06
7,Samstag,30,0,7,23,0,7,28,3,33,2012,01,2012-01-07
8,Sonntag,14,0,3,11,0,3,11,4,18,2012,01,2012-01-08
9,Montag,42,0,4,38,0,4,51,3,45,2012,01,2012-01-09
10,Dienstag,29,0,4,25,0,4,40,0,29,2012,01,2012-01-10
11,Mittwoch,25,0,3,22,0,3,24,3,28,2012,01,2012-01-11
12,Donnerstag,36,0,8,28,0,8,36,5,41,2012,01,2012-01-12
13,Freitag,27,0,8,19,0,8,24,5,32,2012,01,2012-01-13
14,Samstag,16,0,1,15,0,1,21,2,18,2012,01,2012-01-14
15,Sonntag,14,0,1,13,0,1,18,1,15,2012,01,2012-01-15
16,Montag,34,0,3,31,0,3,39,3,37,2012,01,2012-01-16
17,Dienstag,52,1,4,47,1,4,55,6,58,2012,01,2012-01-17
18,Mittwoch,38,0,3,35,0,3,40,4,42,2012,01,2012-01-18
19,Donnerstag,52,0,4,48,0,4,55,4,56,2012,01,2012-01-19
20,Freitag,39,0,1,38,0,4,46,3,42,2012,01,2012-01-20
21,Samstag,30,0,7,23,0,9,34,4,34,2012,01,2012-01-21
22,Sonntag,16,0,3,13,0,3,15,5,21,2012,01,2012-01-22
23,Montag,51,0,5,46,0,5,50,5,56,2012,01,2012-01-23
24,Dienstag,33,0,2,31,0,2,38,1,34,2012,01,2012-01-24
25,Mittwoch,31,0,1,30,0,1,36,4,35,2012,01,2012-01-25
26,Donnerstag,43,0,5,38,0,6,44,2,45,2012,01,2012-01-26
27,Freitag,16,0,4,12,0,4,18,5,21,2012,01,2012-01-27
28,Samstag,17,0,2,15,0,2,19,3,20,2012,01,2012-01-28
29,Sonntag,14,0,1,13,0,1,13,3,17,2012,01,2012-01-29
30,Montag,18,0,1,17,0,1,20,1,19,2012,01,2012-01-30
31,Dienstag,15,0,3,12,0,3,16,0,15,2012,01,2012-01-31
1,Mittwoch,22,0,2,20,0,2,25,2,24,2012,02,2012-02-01
2,Donnerstag,30,0,5,25,0,5,34,2,32,2012,02,2012-02-02
